Gene,MCF10A_1percent,MCF10A_20percent,MCF12A_1percent,MCF12A_20percent
NME2,5434.42872,2200.23718,4570.34249,8202.79825
NME3,378.000169,165.00001,160.99998,556.99966
NME4,1343.544191,382.99993,508.115993,1113.80432
NME6,124.1001,56.70641,23.99997,154.9397377
NME7,258.17053,61.40395,104.43429,238.79168
NME9,9,2,3,7
NMI,156.99965,64,11,152.00028
NMNAT1,64.11911,21,10.60701,145.5509
NMNAT2,169.01374,47.00003,14.106828,86.005
NMNAT3,27.0000336,9,61.99994671,176.595305
NMRAL1,249.99996,112.9999474,75.00004,411.99983
NMRK1,283.99968,48.99995,63.00004,259.30354
NMT1,974.00005,384.99981,565.00026,2008.414
NMT2,210.46923,43,72.98432,172.58867
NMU,221.00013,82,89.99998,125.99973
NMUR1,1,1.91251,1.04977,5
NNAT,18,10,14,37
NNMT,2179.0012,1941.000541,175.9999469,2515.9945
NNT,963.01119,290.233929,403.396726,1584.40755
NOA1,891.151,254.336,372.467,1043.35
NOB1,1963.00257,556.99964,830.99987,3229.00124
NOC2L,937.20594,495.70744,565.88378,2501.8069
NOC3L,274.9996,131.9995,76.00001,786.9999
NOC4L,147.00002,102.00001,72.00000795,429.00019
NOCT,41.006,16,37,78.01574
NOD1,108.58765,39.167,27.999978,210.09175
NOD2,53.99995,1.999997,17.00005,13.999965
NODAL,2,0,0,0.623646
NOG,6.22982,13,20,7
NOL10,331.0004,157.00003,97.0000001,590
NOL11,358.9996,218.999985,41.0000001,927.969
NOL12,97.09008,84,32.00002,158.2302208
NOL3,505.31078,77.99993689,194.9999,545.8859
NOL4L,108.08868,30.000002,88.000035,147.96041
NOL6,200.99994,232.99951,66.999999,2613.00197
NOL7,404.99991,181.14912,131.0006716,706.99975
NOL8,365.00006,144.0000054,57.9999959,1110.000707
NOL9,219.00205,115.209682,30.04365,534.74764
NOLC1,1407.9997,948.0004801,312,5390.0003
NOM1,327.05213,144,93.01601,842.50104
NOMO1,1739.13278,499.34164,752.62066,2400.396909
NOMO2,1198.00359,447.72621,539.326943,1891.393828
NOMO3,301.87168,124.9322,24.05173,147.211237
NONO,4381.07587,1244.972885,1552.95474,4440.9973
NOP10,678,350,128,470
NOP14,958.0353,387.33491,273.615858,1579.4673
NOP16,412.52366,378.1442321,37.87045,839.00218
NOP2,409.0028083,357.0000501,75.99998006,1197.99933
NOP56,776.99981,696.000166,109.00005,2702.99397
NOP58,649.00003,378.99972,126.99977,1308.99812
NOP9,351.987,171.346,97.76438,1124.6499
NOS1,3.439451696,3.049314955,0,2.041473746
NOS1AP,21.42815,6.2621,13.000004,48.30415
NOS3,2.02871,0,0,3.0871
NOSIP,340.99974,130.00008,121.000017,460.00279
NOSTRIN,6.000003227,0.99999952,2,1
NOTCH1,1165.99994,464.99966,6865.99549,15130.96462
NOTCH2,2093.40605,520.37999,232.28824,1708.79823
NOTCH2NL,543.7109,143.46495,66.71423,468.92675
NOTCH3,564.9997,25.55847,1474.0028,1962.39266
NOTCH4,2.006,3,2.0427,9.000417
NOTO,0,0,1.05815,0
NOTUM,2,1,0,2
NOV,9,2,3.999998,52
NOVA1,3.13401,1,1.01193,2.999998
NOVA2,4.11329,1,1,3
NOX1,3,1,0,4
NOX4,6.322993,0,3,7.06189
NOX5,82.581,7.020979437,1.28085,10.28869
NOXA1,138,33,31,236.0003
NOXO1,18.1882,3.52644,16.1497516,16.2443805
NOXRED1,5.11945,0,2,9
NPAP1,4.16858,1.00086,0,9.93559
NPAS1,10,3,4,22
NPAS2,60.88807002,21.99999501,321.84135,1063.3405
NPAS3,4.001320011,1,1,2.00077
NPAT,164.65453,58.00001896,12.129279,211.25324
NPB,0,0,1,0
NPC1,1340.63002,228.479643,482.75088,1594.8853
NPC1L1,0,0,0,0
